Time Predator Habitat FPS FVS CEP BML PL DL DR
2.190000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+002 CEP WC 1.812472e-003 0.000000e+000 1.808850e-011 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.052453e-012 3.881765e-011
2.190000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.691304e-013 5.710437e-010
2.190000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

2.920000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 CEP WC 1.615199e-003 0.000000e+000 1.382459e-011 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 9.704783e-013 8.957270e-012
2.920000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.130084e-013 3.298730e-010
2.920000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

3.650000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 CEP WC 2.414731e-003 0.000000e+000 3.941178e-011 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.417210e-013 1.542025e-017
3.650000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.694371e-013 2.046881e-010
3.650000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

4.380000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 CEP WC 2.694080e-003 0.000000e+000 4.117022e-011 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.605019e-013 9.757070e-011
4.380000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.550679e-013 1.300936e-010
4.380000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

5.110000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 CEP WC 6.028808e-003 0.000000e+000 1.204136e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.553031e-013 3.771471e-010
5.110000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.383894e-013 8.035089e-011
5.110000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

5.840000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 CEP WC 5.396391e-003 0.000000e+000 1.020523e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.796729e-013 3.217809e-010
5.840000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.146662e-013 4.244654e-011
5.840000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

6.570000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 CEP WC 1.022941e-002 0.000000e+000 1.123473e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.930218e-013 2.023344e-010
6.570000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.951231e-013 2.457492e-011
6.570000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

7.300000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 CEP WC 1.235700e-002 0.000000e+000 1.810163e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.255169e-013 1.255077e-010
7.300000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.591839e-013 1.611970e-011
7.300000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

8.030000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 CEP WC 1.484470e-002 0.000000e+000 1.907209e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.030000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.867875e-012 7.682452e-010
8.030000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.635057e-013 1.076375e-011
8.030000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

8.760000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 CEP WC 1.308859e-002 0.000000e+000 2.205325e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
8.760000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.495453e-013 2.653825e-009
8.760000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.888181e-013 2.610533e-011
8.760000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

9.490000e+002 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 CEP WC 1.154692e-002 0.000000e+000 2.101628e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
9.490000e+002 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.333304e-013 2.539157e-009
9.490000e+002 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.847010e-013 4.176250e-011
9.490000e+002 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

1.022000e+003 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 CEP WC 1.052378e-002 0.000000e+000 1.363792e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.022000e+003 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.036219e-013 1.722313e-009
1.022000e+003 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.530034e-013 4.416012e-011
1.022000e+003 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

1.094500e+003 FPS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 FPS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 FPS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 FVS WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 FVS SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 FVS EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 CEP WC 1.234701e-002 0.000000e+000 2.196937e-010 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 CEP SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 CEP EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.094500e+003 BML WC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.021456e-013 1.126039e-009
1.094500e+003 BML SED 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 8.078552e-013 4.209300e-011
1.094500e+003 BML EPIBENTHIC 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000

